seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
151,dormancy-heavy,2012-06-13,7550000,base-stale,1,4399515.131347,4406472.037037,6956.90569,0.001579,0.900685,0.095506,0.0,1160,4406072.392967,399.64407,0.942554,0.999909,0.0108
151,dormancy-heavy,2012-06-13,2760000,base-stale,3,1696590.168422,1718206.493455,21616.325033,0.012581,0.867841,0.117962,0.0,447,1698479.74529,19726.748165,0.087414,0.988519,0.0153
151,dormancy-heavy,2012-06-13,2760000,stronger-but-stale,3,1680115.01417,1718206.493455,38091.479285,0.022169,0.737885,0.241287,0.0,438,,,,,
151,dormancy-heavy,2012-06-13,2760000,weaker-but-fresh,0,1709723.103488,1718206.493455,8483.389967,0.004937,0.629956,0.41555,0.0,427,,,,,
151,dormancy-heavy,2012-06-13,5480000,base-stale,3,3245731.709394,3253870.293032,8138.583638,0.002501,0.908565,0.09817,0.0,858,3250650.589629,3219.703403,0.60439,0.999011,0.0153
151,dormancy-heavy,2012-06-13,5480000,stronger-but-stale,3,3232552.165586,3253870.293032,21318.127446,0.006552,0.810185,0.1797,0.0,852,,,,,
151,dormancy-heavy,2012-06-13,5480000,weaker-but-fresh,0,3243884.265892,3253870.293032,9986.02714,0.003069,0.737269,0.252912,0.0,844,,,,,
151,dormancy-heavy,2012-06-13,7550000,base-stale,3,4398007.261958,4406472.037037,8464.775079,0.001921,0.892123,0.105337,0.0,1159,4403887.784066,2584.252971,0.694705,0.999414,0.0153
151,dormancy-heavy,2012-06-13,7550000,stronger-but-stale,3,4394147.792743,4406472.037037,12324.244294,0.002797,0.819349,0.15309,0.0,1162,,,,,
151,dormancy-heavy,2012-06-13,7550000,weaker-but-fresh,0,4397592.869726,4406472.037037,8879.167311,0.002015,0.767979,0.200843,0.0,1149,,,,,
151,dormancy-heavy,2012-06-13,2760000,base-stale,7,1691030.814496,1718206.493455,27175.678959,0.015816,0.85022,0.136729,0.002232,448,1693289.468068,24917.025387,0.083113,0.985498,0.0223
151,dormancy-heavy,2012-06-13,5480000,base-stale,7,3244393.715786,3253870.293032,9476.577246,0.002912,0.892361,0.111481,0.001164,859,3251899.533484,1970.759548,0.792039,0.999394,0.0223
151,dormancy-heavy,2012-06-13,7550000,base-stale,7,4396598.381995,4406472.037037,9873.655042,0.002241,0.878425,0.119382,0.000865,1156,4400536.4204,5935.616637,0.398843,0.998653,0.0223
151,dormancy-heavy,2012-06-13,2760000,full-refresh,0,1718206.493455,1718206.493455,0.0,0.0,1.0,0.0,0.0,454,1718206.493455,0.0,1.0,1.0,1.0
151,dormancy-heavy,2012-06-13,5480000,full-refresh,0,3253870.293032,3253870.293032,0.0,0.0,1.0,0.0,0.0,864,3253870.293032,0.0,1.0,1.0,1.0
151,dormancy-heavy,2012-06-13,7550000,full-refresh,0,4406472.037037,4406472.037037,0.0,0.0,1.0,0.0,0.0,1168,4406472.037037,0.0,1.0,1.0,1.0
151,seasonal-shift,2012-06-13,2760000,base-stale,0,1822235.62801,1822235.62801,0.0,0.0,1.0,0.0,0.0,486,1822235.62801,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-13,5480000,base-stale,0,3389080.106851,3389080.106851,0.0,0.0,1.0,0.0,0.0,929,3389080.106851,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-13,7550000,base-stale,0,4566687.396965,4566687.396965,0.0,0.0,1.0,0.0,0.0,1259,4566687.396965,0.0,0.0,1.0,0.0
151,seasonal-shift,2012-06-13,2760000,base-stale,1,1803644.242333,1822235.62801,18591.385677,0.010203,0.917695,0.084656,0.0,481,1815743.199342,6492.428668,0.650783,0.996437,0.0266
151,seasonal-shift,2012-06-13,5480000,base-stale,1,3376946.966246,3389080.106851,12133.140605,0.00358,0.931109,0.070175,0.0,923,3392840.705451,-3760.5986,1.309944,1.00111,0.0266
151,seasonal-shift,2012-06-13,7550000,base-stale,1,4550227.142087,4566687.396965,16460.254878,0.003604,0.920572,0.085752,0.0,1251,4564315.713701,2371.683264,0.855915,0.999481,0.0266
151,seasonal-shift,2012-06-13,2760000,base-stale,3,1802056.03294,1822235.62801,20179.59507,0.011074,0.917695,0.079365,0.0,485,1813925.378342,8310.249668,0.588186,0.99544,0.0307
151,seasonal-shift,2012-06-13,2760000,stronger-but-stale,3,1779849.983888,1822235.62801,42385.644122,0.02326,0.796296,0.203704,0.0,471,,,,,
151,seasonal-shift,2012-06-13,2760000,weaker-but-fresh,0,1821089.687012,1822235.62801,1145.940998,0.000629,0.666667,0.367725,0.0,452,,,,,
151,seasonal-shift,2012-06-13,5480000,base-stale,3,3375294.789375,3389080.106851,13785.317476,0.004068,0.921421,0.07496,0.0,921,3394546.945375,-5466.838524,1.39657,1.001613,0.0307
151,seasonal-shift,2012-06-13,5480000,stronger-but-stale,3,3370096.727783,3389080.106851,18983.379068,0.005601,0.814855,0.167464,0.0,917,,,,,
151,seasonal-shift,2012-06-13,5480000,weaker-but-fresh,0,3377765.672223,3389080.106851,11314.434628,0.003338,0.737352,0.255183,0.0,886,,,,,
151,seasonal-shift,2012-06-13,7550000,base-stale,3,4552709.969334,4566687.396965,13977.427631,0.003061,0.910246,0.097625,0.0,1253,4564177.751224,2509.645741,0.82045,0.99945,0.0307
151,seasonal-shift,2012-06-13,7550000,stronger-but-stale,3,4550577.086549,4566687.396965,16110.310416,0.003528,0.842732,0.145119,0.0,1247,,,,,
151,seasonal-shift,2012-06-13,7550000,weaker-but-fresh,0,4556046.065188,4566687.396965,10641.331777,0.00233,0.770453,0.188654,0.0,1211,,,,,
151,seasonal-shift,2012-06-13,2760000,base-stale,7,1799200.787793,1822235.62801,23034.840217,0.012641,0.897119,0.100529,0.004158,481,1814459.614373,7776.013637,0.662424,0.995733,0.0373
151,seasonal-shift,2012-06-13,5480000,base-stale,7,3373545.506857,3389080.106851,15534.599994,0.004584,0.902045,0.090909,0.002176,919,3394054.373013,-4974.266162,1.320206,1.001468,0.0373
151,seasonal-shift,2012-06-13,7550000,base-stale,7,4541033.11874,4566687.396965,25654.278225,0.005618,0.891183,0.114776,0.001605,1246,4556321.922072,10365.474893,0.595955,0.99773,0.0373
151,seasonal-shift,2012-06-13,2760000,full-refresh,0,1822235.62801,1822235.62801,0.0,0.0,1.0,0.0,0.0,486,1822235.62801,0.0,1.0,1.0,1.0
151,seasonal-shift,2012-06-13,5480000,full-refresh,0,3389080.106851,3389080.106851,0.0,0.0,1.0,0.0,0.0,929,3389080.106851,0.0,1.0,1.0,1.0
151,seasonal-shift,2012-06-13,7550000,full-refresh,0,4566687.396965,4566687.396965,0.0,0.0,1.0,0.0,0.0,1259,4566687.396965,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-06-20,2760000,base-stale,0,1748603.716256,1748603.716256,0.0,0.0,1.0,0.0,0.0,472,1748603.716256,0.0,0.0,1.0,0.0
151,complaint-heavy,2012-06-20,5480000,base-stale,0,3317735.896932,3317735.896932,0.0,0.0,1.0,0.0,0.0,897,3317735.896932,0.0,0.0,1.0,0.0
151,complaint-heavy,2012-06-20,7550000,base-stale,0,4483374.363997,4483374.363997,0.0,0.0,1.0,0.0,0.0,1211,4483374.363997,0.0,0.0,1.0,0.0
